,名前,挿入→画像→画像をセル内に挿入,Created day,作者（敬称略）,コメント,モデル,ID,リンク,パフォーマンス（PC,Android,IOS,,,,,,
,,,,,,,,,,,,,,,,,
1,タテジマ金チャクマン,,Jul 10 2023,＂K＂ ちゃん,,タテジマキンチャク,avtr_f355cfdb-a19e-40d0-98b3-974432e32bde,https://vrchat.com/home/avatar/avtr_f355cfdb-a19e-40d0-98b3-974432e32bde,Good,Very Poor,,,,,,,
2,酸,-,17/17/1717,99u,null,-,avtr_17171717-1717-171717-1717-99999999999,https://docs.google.com/spreadsheets/d/1xb9yLv0eAPgBQjisjLrR6ib_Q8pER2loDVIUYnqH8n4/edit?gid=0#gid=0,Good,Very Poor,,,,,,,
3,ピラニアの一族,,03/03/2025,AoNeco 青猫,ピラニア,私はアマゾン川で溺れてピラニアに肉を食われ骨だけになってしまったのです。ピラニアの一匹に引っかかりピラニアの一族とともにアマゾン川を彷徨っているのです,avtr_28fa1d33-86bb-44e4-b3f4-a55dafdf3c56,https://vrchat.com/home/avatar/avtr_28fa1d33-86bb-44e4-b3f4-a55dafdf3c56,Medium,Poor,Poor,,,,,,
4,シン金魚ヘッドちゃん,,05/04/2025,AoNeco 青猫,キンギョ,金魚ヘッドちゃんのpublicがうまく更新できないので生み出されたシン金魚ヘッドちゃん。子どもの日用ののぼりがちょっと変わりました。あとPC PoorだったのをPC Mediumにしていますが右手メニューが少なくなりました,avtr_56087b15-46d1-4f73-9c11-a5a1369e9437,https://vrchat.com/home/avatar/avtr_56087b15-46d1-4f73-9c11-a5a1369e9437,Medium,Medium,Medium,,,,,,
5,かにぱんまん,,	04/26/2024,AoNeco 青猫,マッチョな体を手に入れた私は子供向けの丸顔きぐるみヒーローショーのアルバイトを始めました。最初はヒーローの仲間でしたが子供から怖がられるうちにいつの間にか悪役の黒いやつの仲間になっていたのでした。,カニ　かにぱん,avtr_06b7829e-4d1f-45ef-a480-8c91c2eeb8ab,https://vrchat.com/home/avatar/avtr_06b7829e-4d1f-45ef-a480-8c91c2eeb8ab,Good,Poor,,,,,,,
6,DevilStingerMan オニオコゼマン,,	09/25/2025,AoNeco 青猫,オニオコゼ,DevilStingerMan 魚頭警察特殊部隊のオニオコゼマンは不良魚頭を厳しく取り締まるのです,avtr_67456bf6-a2cc-4fef-bc01-f06dc1506162,https://vrchat.com/home/avatar/avtr_67456bf6-a2cc-4fef-bc01-f06dc1506162,Good,Poor,,,,,,,
7,トビウオマン,,06/13/2025,AoNeco 青猫,正義のヒーロー トビウオマン,トビウオ,avtr_060f7a82-a973-450c-93dd-19fa99baea54,https://vrchat.com/home/avatar/avtr_060f7a82-a973-450c-93dd-19fa99baea54,Good,Medium,Medium,,,,,,
8,モンゴウイカマンV1․02,,Aug 12 2023,AoNeco 青猫,,モンゴウイカ,avtr_b22c29cf-3afb-4507-98da-572f6b75afd2,https://vrchat.com/home/avatar/avtr_b22c29cf-3afb-4507-98da-572f6b75afd2,Good,Medium,,,,,,,
9,闇金ちゃんV1․02,,Aug 14 2023,AoNeco 青猫,闇の串焼き使い 人を呪えば穴２つ、魚を呪えば串二本、一遍焼かれてみる？,金魚,avtr_7496bf07-d1c8-4a75-8e4b-0f560101f5f1,https://vrchat.com/home/avatar/avtr_7496bf07-d1c8-4a75-8e4b-0f560101f5f1,Poor,Very Poor,,,,,,,
10,巫女金魚ヘッドちゃん,,Dec 09 2023,AoNeco 青猫,,金魚,avtr_aaee8148-eb52-40ae-8cd3-3adfb79060f3,https://vrchat.com/home/avatar/avtr_aaee8148-eb52-40ae-8cd3-3adfb79060f3,Good,Poor,,,,,,,
11,マンボー巫女,,Dec 28 2023,AoNeco 青猫,マンボーマンのボディを巫女にしてみました,マンボウ,avtr_70e92294-7d97-4f15-998e-c8db5680cf3f,https://vrchat.com/home/avatar/avtr_70e92294-7d97-4f15-998e-c8db5680cf3f,Medium,Poor,,,,,,,
12,チョウチンアンコウマン,,Feb 02 2024,AoNeco 青猫,フィッシュヘッドのチョウチンアンコウ（提灯鮟鱇）マン、力士にもなります！,チョウチンアンコウ,avtr_1e8bdc8a-1e83-4caa-b457-4a1b1e6cddf0,https://vrchat.com/home/avatar/avtr_1e8bdc8a-1e83-4caa-b457-4a1b1e6cddf0,Good,Very Poor,,,,,,,
13,思春期ハリセンボンちゃん,,Feb 02 2025,AoNeco 青猫,「ツンデレは インテリジェンスの 証しなり」ってことでツンツンする思春期のハリセンボン中学生です。ハンドサインやラジアルメニューで表情が変えられます。作者はハンドサインでの表情変更が下手くそなのでハンドサインでの表情変更をできなくするOFFメニューを付けています,ハリセンボン,avtr_7ad74415-0a5c-4f72-b559-3936a01750fa,https://vrchat.com/home/avatar/avtr_7ad74415-0a5c-4f72-b559-3936a01750fa,Good,Poor,Poor,,,,,,
14,金魚ヘッドちゃん,,Jul 07 2023,AoNeco 青猫,,金魚,avtr_3f6beabd-4f73-4f2d-9872-af8e2925588a,https://vrchat.com/home/avatar/avtr_3f6beabd-4f73-4f2d-9872-af8e2925588a,Poor,Poor,Medium,,,,,,
15,ミノカサゴマン V1․03,,Jun 24 2023,AoNeco 青猫,近海有毒連合初代総長 ミノカサゴマン,ミノカサゴ,avtr_c835cf21-bd2a-4393-b193-31107023d6f7,https://vrchat.com/home/avatar/avtr_c835cf21-bd2a-4393-b193-31107023d6f7,Good,Very Poor,,,,,,,
16,CatFishGirl 鯰猫娘,,Jun 25 2024,AoNeco 青猫,ナマズは英語でCatFishなのです。なのでナマズのフィッシュヘッドのボディは人ではなく猫になるのです。ここテストに出るのでよく覚えてくださいね。,アメリカナマズ,avtr_160da194-bd4d-4d1e-b0c9-e46a7b9e9759,https://vrchat.com/home/avatar/avtr_160da194-bd4d-4d1e-b0c9-e46a7b9e9759,Medium,Poor,,,,,,,
17,ハコフグくん V1․00,,Jun 30 2023,AoNeco 青猫,,ハコフグ,avtr_3d91a001-4197-4528-99d0-50e357a40563,https://vrchat.com/home/avatar/avtr_3d91a001-4197-4528-99d0-50e357a40563,Good,Medium,,,,,,,
18,筋肉紋甲烏賊男,,Mar 20 2024,AoNeco 青猫,貧弱な肉体だった私、モンゴウイカマンは「腕立て伏せ100回、上体起こし100回、スクワット100回、そしてランニング10km、これを毎日やる」ことによって筋肉紋甲烏賊男に生まれ変わったのです,モンゴウイカ,avtr_f5e20998-5418-4128-943f-d6a3ae4bc138,https://vrchat.com/home/avatar/avtr_f5e20998-5418-4128-943f-d6a3ae4bc138,Medium,Very Poor,,,,,,,
19,coelacanth lady 怪盗シーラカンスレディ,,Nov 05 2024,AoNeco 青猫,レオタードの女ボディのシーラカンスのフィッシュヘッドです。昭和の人気アニメではないですよ。あれは魚の頭してません,シーラカンス,avtr_78d1ce9b-d23a-41c9-ac97-0dd743d548c6,https://vrchat.com/home/avatar/avtr_78d1ce9b-d23a-41c9-ac97-0dd743d548c6,Good,Poor,,,,,,,
20,Ammo-Knite あんもナイト,,Nov 05 2024,AoNeco 青猫,アンモナイトの騎士のフィッシュヘッドなのです。刀を出せますが自由には動かせませんので戦いにはなんの役にも立たないのです,アンモナイト,avtr_49b6ca59-c888-4494-bc76-d7e6bb1085f6,https://vrchat.com/home/avatar/avtr_49b6ca59-c888-4494-bc76-d7e6bb1085f6,Good,Poor,,,,,,,
